image_path,Adventure,Fantasy,Historical,Isekai,Mystery,Romance,School,SF,sports,Supernatural
./images/Adventure/Arata Kangatari_452.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Archlord_586.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Argate Online_136.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Arifureta Shokugyou de Sekai Saikyou Zero_364.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Arifureta Shokugyou de Sekai Saikyou_480.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Around 40 Kenja no Isekai Seikatsu Nikki_855.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Around 40 Shachiku no Golem Master_307.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Asebi to Sora Sekai no Boukensha_177.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Asklepios_200.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Asobinin wa Kenja ni Tenshoku Dekiru tte Shittemashita Yuusha Party wo Tsuihou sareta Lv99 Doukeshi Daikenja ni Naru_925.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Astro Boy Tetsuwan Atom_840.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Awairo Emaki_802.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Baccano 1931 The Grand Punk Railroad_614.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Baki Gaiden Kenjin_572.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bakuten Shoot Beyblade_950.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
./images/Adventure/Bal Jak_752.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Banana Fish_750.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Banana no Nana_744.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Banya The Explosive Delivery Man_162.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bara no Maria_638.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Barbarian Quest_330.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Basara_180.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Bastard Ankoku no Hakaishin_270.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Benriya Saitousan Isekai ni Iku_748.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Berserk_179.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bijo to Kenja to Majin no Ken_687.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bishuu Gyakuten Sekai de Chiryoushi Yattemasu_179.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Black Cat_207.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Black Clover Gaiden Quartet Knights_758.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Black Lagoon_925.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Black na Kishidan no Dorei ga White na Boukensha Guild ni Hikinukarete SRank ni Narimashita_342.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Blade  Bastard_648.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bleach Letters From the Other Side_395.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bleach The Death Save the Strawberry_528.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bleach_708.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Blood and Steel_734.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Blood_566.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Blue Dragon RalΩGrado_115.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Blust_571.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Bobobobo Bobobo_601.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Bocchi Tenseiki_109.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boku ga Yuusha de Maou mo Boku de_365.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boku no Heya ga Dungeon no Kyuukeijo ni Natteshimatta Ken_409.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bokura no Chikyuu no Arukikata_520.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Book Eater_991.jpg,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
./images/Adventure/Boruto Naruto Next Generations_474.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boruto Naruto the Movie_821.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Botsuraku Yotei no Kizoku dakedo Hima Datta kara Mahou wo Kiwametemita comic_561.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bouken ni Tsuitekonaide Okaasan Chouka Hogo na Saikyou Dragon ni Sodaterareta Musuko Hahaoya Douhan de Boukensha ni Naru_514.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boukenka ni Narou Skill Board de Dungeon Kouryaku_413.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boukenou Beet_303.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Boukensha License wo Hakudatsu sareta Ossan dakedo Manamusume ga Dekita node Nonbiri Jinsei wo Ouka suru_813.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boukensha ni Naritai to Miyako ni Deteitta Musume ga SRank ni Natteta_241.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Boushokuki no Ken_668.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Build King_839.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Bullet Armors_752.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Buster Keel_424.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/C Sword and Cornett_664.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Canaan_614.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cardcaptor Sakura Clear Cardhen_238.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Cardcaptor Sakura_645.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Cavalier of the Abyss_972.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Chainsaw Man Buddy Stories_386.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Champignon no Majo_910.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cheat Skill Shisha Sosei ga Kakusei shite Inishie no Maougun wo Fukkatsu sasete Shimaimashita Daremo Shinasenai Saikyou Healer_152.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Chibikko Kenja Lv1 kara Isekai de Ganbarimasu_815.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Chihou Kishi Hans no Junan_648.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Child of the Sheath_228.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Chrno Crusade_206.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
./images/Adventure/Chronicles of a Doomed Prodigy_368.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Chronicles of the Cursed Sword_880.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Chunchu The Genocide Fiend_771.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Ciel_818.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/City Hunter_435.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Class Teni de Ore dake Haburareta node Doukyuusei Harem Tsukuru Koto ni Shita_739.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Claymore_515.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/CMB Shinra Hakubutsukan no Jiken Mokuroku_723.jpg,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cobra_409.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Code Geass Hangyaku no Lelouch_244.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Code Geass Shikkoku no Renya_675.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Code Name wa Sailor V_539.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Cowboy Bebop_401.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Crimson Empire Circumstances to Serve a Noble_984.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Crimson Grave_574.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Crimson Spell_147.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cross Epoch_188.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Crying Freeman_962.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cut  Paste de Kono Sekai wo Ikiteiku_654.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Cyber Blue_822.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Cyborg 009_142.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Da Wang Rao Ming_405.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Da Zhuzai_545.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dai Densetsu no Yuusha no Densetsu_577.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Daichouhen Doraemon_275.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Dame Skill Auto Mode ga Kakusei shimashita Are Guild no Scout no Minasan Ore wo Iranai tte Ittemasen deshita_336.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dappou Tamer no Nariagari Boukentan SRank Bishoujo Boukensha ga Ore no Juuma ni Natteimasu the Comic_724.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dark Air_263.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Darren Shan_205.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Deadman Wonderland_293.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
./images/Adventure/Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita comic_453.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dengeki Pikachu_275.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Densetsu no Yuusha no Densetsu_265.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Densetsu no Yuusha no Konkatsu_939.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Destiny Unchain Online Kyuuketsuki Shoujo to Natte Yagate Aka no Maou to Yobareru you ni Narimashita_125.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Devil May Cry 3_288.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Devil May Cry_330.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Devil Survivor_635.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
./images/Adventure/Devilman_570.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
./images/Adventure/DGrayman Reverse_279.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/DGrayman_520.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Digimon Adventure VTamer 01_962.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Digimon Adventure_480.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dimensional Mercenary_751.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Disciple of the Holy Sword_645.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dkyuu Boukensha no Ore Nazeka Yuusha Party ni Kanyuu sareta Ageku Oujo ni Tsukimatowareteru_409.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Doctor Player_813.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Donyatsu_940.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Doraemon_557.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
./images/Adventure/Dorei Shounin shika Sentakushi ga Nai desu yo Harem Nani Sore Oishii no_679.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dorei Tensei Sono Dorei Saikyou no Moto Ouji ni Tsuki_755.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dororo_408.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Doryoku Shisugita Sekai Saikyou no Butouka wa Mahou Sekai wo Yoyuu de Ikinuku_252.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Double Arts_813.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Doubutsu no Kuni_409.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Doukutsuou kara Hajimeru Rakuen Life Bannou no Saikutsu Skill de Saikyou ni_227.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Douluo Dalu 3 Longwang Chuanshuo_471.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Douluo Dalu 4 Zhongji Douluo_505.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Doupo Cangqiong_688.jpg,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
./images/Adventure/Dr Stone Reboot Byakuya_916.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dr Stone_425.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Ball Episode of Bardock_269.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Ball SD_969.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Ball_757.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/DragOn Dragoon Shi ni Itaru Aka_133.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Drive_258.jpg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Dragon Eye_560.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Half_906.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dragon Quest Dai no Daibouken_647.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Drawing Saikyou Mangaka wa Oekaki Skill de Isekai Musou suru_381.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Drifters_986.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon Meshi_308.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden Sword Oratoria_557.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II_738.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka_229.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon Reset_519.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeon Sherpa Meikyuu Michisaki Annainin_651.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeons  Artifacts_136.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Dungeontou de Yadoya wo Yarou Souzou Mahou wo Moratta Ore no Hosoude Hanjouki_114.jpg,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Duranki_259.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/EatMan_179.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Eden no Ori_479.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Eiyuu to Kenja no Tenseikon Katsute no Koutekishu to Konyaku shite Saikyou Fuufu ni Narimashita_533.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Eizouken ni wa Te wo Dasuna_957.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Elden Ring Ougonju e no Michi_210.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Elf to Shuryoushi no Item Koubou_913.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Enchanter_405.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/ERank no Kusushi_268.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Erementar Gerad_609.jpg,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
./images/Adventure/Ergo Proxy Centzon Hitchers and Undertaker_794.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Erio to Denki Ningyou_168.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
./images/Adventure/Esprit_506.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Estio_747.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Fairy Tail 100 Years Quest_240.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Fairy Tail City Hero_509.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Fairy Tail_658.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
./images/Adventure/Fangkai Nage Nuwu_961.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
